chave,ITEM,NUMPEDVEN,QTCOMP,STATUS,AUTORIZADO
70665312590640,5866304,1147404249,1,AUTORIZADO,Autorizado
70665112590640,7940064,1147369859,1,AUTORIZADO,Autorizado
70665612590640,7620324,1147398178,1,AUTORIZADO,Autorizado
70665712590640,6364540,1147422523,1,AUTORIZADO,Autorizado
70666112590640,6569495,1147432333,1,AUTORIZADO,Autorizado
70666312590640,6297046,1147415280,1,AUTORIZADO,Autorizado
70666212590640,3262863,1147318413,1,AUTORIZADO,Autorizado
70666012590640,7557118,1147379804,1,AUTORIZADO,Autorizado
70666512590640,902120,1147413696,1,AUTORIZADO,Autorizado
70666612590640,7940064,1147256195,1,AUTORIZADO,Autorizado
70667112590640,7826665,1147252437,1,AUTORIZADO,Autorizado
70666912590640,7979170,1147432137,1,AUTORIZADO,Autorizado
70667012590640,7709319,1147288521,1,AUTORIZADO,Autorizado
70667212590640,6184056,1147403568,1,AUTORIZADO,Autorizado
70667312590640,7940064,1147282276,1,AUTORIZADO,Autorizado
20955460300630,7914300,1147422073,1,AUTORIZADO,Autorizado
64982619991720,3259801,1147338287,2,AUTORIZADO,Autorizado
70669312590640,7952654,1147445227,1,AUTORIZADO,Autorizado
70669412590640,6969561,1147242393,1,AUTORIZADO,Autorizado
70670012590640,5979851,1147314037,1,AUTORIZADO,Autorizado
70669912590640,7952654,1147376503,1,AUTORIZADO,Autorizado
70669612590640,6345266,1147374469,1,AUTORIZADO,Autorizado
70669812590640,7952654,1147396494,1,AUTORIZADO,Autorizado
70670312590640,7730092,1147447803,1,AUTORIZADO,Autorizado
70670212590640,7952654,1147363856,1,AUTORIZADO,Autorizado
70670812590640,7756894,1147238216,1,AUTORIZADO,Autorizado
70670612590640,7952654,1147389393,1,AUTORIZADO,Autorizado
70670712590640,7952654,1147420970,1,AUTORIZADO,Autorizado
70670512590640,7721250,1147335937,1,AUTORIZADO,Autorizado
70671112590640,7933691,1147428444,1,AUTORIZADO,Autorizado
70671012590640,7952654,1147405024,1,AUTORIZADO,Autorizado
20955560300630,7869020,1147293130,1,AUTORIZADO,Autorizado
70671412590640,7721250,1147422636,1,AUTORIZADO,Autorizado
70671312590640,7721250,1147405694,1,AUTORIZADO,Autorizado
70671612590640,6969561,1147402474,1,AUTORIZADO,Autorizado
70671512590640,7955129,1147363780,1,AUTORIZADO,Autorizado
70671712590640,7955129,1147359167,1,AUTORIZADO,Autorizado
70671812590640,7756894,1147425723,1,AUTORIZADO,Autorizado
70671912590640,7594885,1147248177,1,AUTORIZADO,Autorizado
70672212590640,7755477,1147389425,1,AUTORIZADO,Autorizado
70672112590640,7968082,1147420803,1,AUTORIZADO,Autorizado
70672012590640,7756894,1147356268,1,AUTORIZADO,Autorizado
70672312590640,7832611,1147404464,1,AUTORIZADO,Autorizado
70672412590640,7743665,1147418620,1,AUTORIZADO,Autorizado
70672612590640,7857140,1147386915,1,AUTORIZADO,Autorizado
70672712590640,7721250,1147269621,1,AUTORIZADO,Autorizado
70672912590640,6923860,1147421837,1,AUTORIZADO,Autorizado
70672812590640,7756894,1147296175,1,AUTORIZADO,Autorizado
70673012590640,7933691,1147379816,1,AUTORIZADO,Autorizado
70673112590640,7594885,1147198628,1,AUTORIZADO,Autorizado
70673212590640,7952654,1147393304,1,AUTORIZADO,Autorizado
70673312590640,7721250,1147284581,1,AUTORIZADO,Autorizado
20955660300630,7259906,1147369322,1,AUTORIZADO,Autorizado
20955660300630,6860417,1147369322,1,AUTORIZADO,Autorizado
20955660300630,6531829,1147369322,1,AUTORIZADO,Autorizado
70673512590640,7411052,1147376150,1,AUTORIZADO,Autorizado
70673412590640,7857140,1147375315,1,AUTORIZADO,Autorizado
70673712590640,6345266,1147353655,1,AUTORIZADO,Autorizado
70673612590640,7411052,1147411090,1,AUTORIZADO,Autorizado
70673912590640,7952654,1147417554,1,AUTORIZADO,Autorizado
70673812590640,7411052,1147419257,1,AUTORIZADO,Autorizado
70674112590640,7933691,1147371385,1,AUTORIZADO,Autorizado
70674012590640,6923860,1147361693,1,AUTORIZADO,Autorizado
70674312590640,7600029,1147368291,1,AUTORIZADO,Autorizado
70674212590640,7730092,1147428623,1,AUTORIZADO,Autorizado
70674412590640,7955129,1147419501,1,AUTORIZADO,Autorizado
70674512590640,7933691,1147363888,1,AUTORIZADO,Autorizado
70674612590640,7743504,1147421797,1,AUTORIZADO,Autorizado
70674712590640,6281526,1147402032,1,AUTORIZADO,Autorizado
70674912590640,7968082,1147344279,1,AUTORIZADO,Autorizado
70674812590640,6969561,1147318539,1,AUTORIZADO,Autorizado
70675012590640,7594885,1147422594,1,AUTORIZADO,Autorizado
70675112590640,7600029,1147357620,1,AUTORIZADO,Autorizado
70675212590640,7832611,1147236918,1,AUTORIZADO,Autorizado
70675312590640,7968082,1147423567,1,AUTORIZADO,Autorizado
70675512590640,6577124,1147269105,1,AUTORIZADO,Autorizado
70675412590640,7756894,1147403948,1,AUTORIZADO,Autorizado
808951526502650,7866036,1146809853,1,AUTORIZADO,Autorizado
808951526502650,7866197,1146809853,1,AUTORIZADO,Autorizado
70675712590640,7743504,1147329069,1,AUTORIZADO,Autorizado
70676012590640,6345266,1147391435,1,AUTORIZADO,Autorizado
70675912590640,7952654,1147355188,1,AUTORIZADO,Autorizado
20955960300630,7914300,1147397261,1,AUTORIZADO,Autorizado
70676112590640,7600029,1147407012,1,AUTORIZADO,Autorizado
808967526502650,7726941,1147122258,1,AUTORIZADO,Autorizado
808966526502650,7954412,1147120024,1,AUTORIZADO,Autorizado
808966526502650,3053768,1147120024,1,AUTORIZADO,Autorizado
64982919991720,6479213,1147399529,4,AUTORIZADO,Autorizado
64982919991720,6487836,1147399529,1,AUTORIZADO,Autorizado
20956060300630,8042422,1147421713,1,AUTORIZADO,Autorizado
20956160300630,7671685,1147427286,1,AUTORIZADO,Autorizado
92167720350505,7886041,1147405613,1,AUTORIZADO,Autorizado
